Store,Retailer,Location,Area,Date ,Year,Month,Day,Product,Skew Type,Description,Quantity ,Price,Total
Binny's Willowbrook,Binny's,Willowbrook,0,11/11/2020,2020,11,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,12,$3.49,41.88
Binny's Willowbrook,Binny's,Willowbrook,0,11/11/2020,2020,11,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,11/11/2020,2020,11,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,11/11/2020,2020,11,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,12/09/2020,2020,12,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,4,$3.49,13.96
Binny's Willowbrook,Binny's,Willowbrook,0,12/09/2020,2020,12,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,4,$4.89,19.56
Binny's Willowbrook,Binny's,Willowbrook,0,12/09/2020,2020,12,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,1,$8.39,8.39
Binny's Willowbrook,Binny's,Willowbrook,0,12/09/2020,2020,12,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,1,$12.59,12.59
Binny's Willowbrook,Binny's,Willowbrook,0,12/22/2020,2020,12,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,7,$3.49,24.43
Binny's Willowbrook,Binny's,Willowbrook,0,12/22/2020,2020,12,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,12/22/2020,2020,12,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,2,$8.39,16.78
Binny's Willowbrook,Binny's,Willowbrook,0,12/22/2020,2020,12,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,2,$12.59,25.18
Binny's Willowbrook,Binny's,Willowbrook,0,01/06/2021,2021,1,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,8,$3.49,27.92
Binny's Willowbrook,Binny's,Willowbrook,0,01/06/2021,2021,1,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,8,$4.89,39.12
Binny's Willowbrook,Binny's,Willowbrook,0,01/06/2021,2021,1,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,01/06/2021,2021,1,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,02/10/2021,2021,2,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,10,$3.49,34.9
Binny's Willowbrook,Binny's,Willowbrook,0,02/10/2021,2021,2,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,10,$4.89,48.9
Binny's Willowbrook,Binny's,Willowbrook,0,02/10/2021,2021,2,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,7,$8.39,58.73
Binny's Willowbrook,Binny's,Willowbrook,0,02/10/2021,2021,2,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,6,$12.59,75.54
Binny's Willowbrook,Binny's,Willowbrook,0,03/17/2021,2021,3,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,4,$3.49,13.96
Binny's Willowbrook,Binny's,Willowbrook,0,03/17/2021,2021,3,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,03/17/2021,2021,3,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,1,$8.39,8.39
Binny's Willowbrook,Binny's,Willowbrook,0,03/17/2021,2021,3,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,1,$12.59,12.59
Binny's Willowbrook,Binny's,Willowbrook,0,05/03/2021,2021,5,2,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,9,$3.49,31.41
Binny's Willowbrook,Binny's,Willowbrook,0,05/03/2021,2021,5,2,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,11,$4.89,53.79
Binny's Willowbrook,Binny's,Willowbrook,0,05/03/2021,2021,5,2,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,7,$8.39,58.73
Binny's Willowbrook,Binny's,Willowbrook,0,05/03/2021,2021,5,2,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,5,$12.59,62.95
Binny's Willowbrook,Binny's,Willowbrook,0,05/26/2021,2021,5,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,0,$3.49,0
Binny's Willowbrook,Binny's,Willowbrook,0,05/26/2021,2021,5,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,6,$4.89,29.34
Binny's Willowbrook,Binny's,Willowbrook,0,05/26/2021,2021,5,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,5,$8.39,41.95
Binny's Willowbrook,Binny's,Willowbrook,0,05/26/2021,2021,5,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,06/23/2021,2021,6,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,11,$3.49,38.39
Binny's Willowbrook,Binny's,Willowbrook,0,06/23/2021,2021,6,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,10,$4.89,48.9
Binny's Willowbrook,Binny's,Willowbrook,0,06/23/2021,2021,6,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,8,$8.39,67.12
Binny's Willowbrook,Binny's,Willowbrook,0,06/23/2021,2021,6,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,07/21/2021,2021,7,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,7,$3.49,24.43
Binny's Willowbrook,Binny's,Willowbrook,0,07/21/2021,2021,7,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,6,$4.89,29.34
Binny's Willowbrook,Binny's,Willowbrook,0,07/21/2021,2021,7,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,7,$8.39,58.73
Binny's Willowbrook,Binny's,Willowbrook,0,07/21/2021,2021,7,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,08/11/2021,2021,8,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,6,$3.49,20.94
Binny's Willowbrook,Binny's,Willowbrook,0,08/11/2021,2021,8,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,08/11/2021,2021,8,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
